fornitore,reg,codice_regione,Code,anno,mese,age_group,coverage_of_the_age_group,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_6,coverage_7,coverage_8,coverage_9,coverage_10,coverage_11,coverage_12,coverage_13,coverage_14,coverage_15,efficacy_baseline,efficacy_lower,efficacy_upper
AstraZeneca/Janssen(BOOSTER),Abruzzo,13,ITF1,2022,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen(BOOSTER),Abruzzo,13,ITF1,2022,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,1,1,3.8029211e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,75,82
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,2,1,.00002947264,.88571435,.11428571,0,0,0,0,0,0,0,0,0,0,0,0,0,79.000008,75,82.000008
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,3,1,.00014070809,.80874318,.1693989,.021857923,0,0,0,0,0,0,0,0,0,0,0,0,78.97377,74.978142,81.932236
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,4,1,.00034701655,.66605842,.270073,.056569345,.00729927,0,0,0,0,0,0,0,0,0,0,0,78.891243,74.91716,81.775002
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,5,1,.00056188158,.51887619,.32045653,.12993854,.027216857,.0035118524,0,0,0,0,0,0,0,0,0,0,78.659698,74.743279,81.379807
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,6,1,.018964218,.94598311,.028028073,.017310062,.0070188749,.0014701698,.00018969931,0,0,0,0,0,0,0,0,0,78.921349,74.939568,81.88047
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,7,1,.01674141,.45507172,.51549298,.015273291,.0094327433,.0038247837,.00080113712,.00010337253,0,0,0,0,0,0,0,0,78.866394,74.88781,81.828415
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,8,1,.018112363,.32991031,.30493885,.34542653,.010234474,.0063207839,.002562948,.00053683372,.000069268863,0,0,0,0,0,0,0,78.367104,74.445457,80.707344
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,9,1,.0079785287,.12689002,.28804925,.26624635,.30159667,.0089358613,.0055187638,.0022377453,.00046871696,.000056676683,0,0,0,0,0,0,76.607056,73.212822,78.763435
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,10,1,.002869304,.043662332,.12135264,.27547863,.25462723,.28843483,.0085458951,.0052779224,.0021400889,.00044826188,.000032170523,0,0,0,0,0,73.950188,70.623817,76.14695
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,11,1,.0029320521,.042822231,.041799277,.11617213,.26371816,.24375692,.27612129,.0081810625,.0050526024,.0020487264,.00032762566,0,0,0,0,0,66.74131,62.399418,70.112259
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,12,1,.00087961566,.012645356,.042282388,.041270986,.11470314,.26038337,.24067454,.27262962,.0080776103,.0049887104,.0020228196,.00032149901,0,0,0,0,53.501949,45.0364,57.809532
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2022,1,1,.00026388469,.0037792698,.012597566,.042123087,.041115094,.11426966,.25939929,.23976496,.27159929,.0080470825,.0049698567,.0020151748,.00031969114,0,0,0,41.602432,28.340172,47.045116
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2022,2,1,.000079165409,.0011324969,.0037749894,.012583299,.042075526,.041068554,.11414025,.2591055,.23949341,.27129167,.0080379695,.0049642283,.0020128926,.00031915138,0,0,32.060741,14.057977,41.525475
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2022,3,1,.000023749622,.00033963367,.0011321122,.0037737077,.012579026,.042061284,.041054618,.11410149,.25901753,.23941208,.27119955,.0080352398,.0049625426,.002012209,.00031898974,0,27.969095,7.0669141,40.928322
